created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 15:20:04 +0000 2015,5cdh newrigor,,1,594521745719226368,2,.@EcstaticPesse's website: http://t.co/tJ2VSPjbnu @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
Sat May 02 15:18:46 +0000 2015,NewRigor 5cDH,http://twitter.com/jeffreymoro/status/594521420081729536/photo/1,0,594521420081729536,3,.@EcstaticPesse's research goals for the @5collDH fellowship. #NewRigor #5cDH http://t.co/cSZwgEVloV,jeffreymoro,Jeffrey Moro
Sat May 02 15:18:16 +0000 2015,5cdh newrigor,,0,594521294340825088,3,.@EcstaticPesse's first project was http://t.co/gZKc2qXaZa @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
Sat May 02 15:17:37 +0000 2015,NewRigor 5cDH,,0,594521128183422976,2,.@EcstaticPesse wanting to use computational sculptures that address how technology restricts and controls bodies. @5collDH #NewRigor #5cDH,jeffreymoro,Jeffrey Moro
Sat May 02 15:16:32 +0000 2015,5cdh NewRigor,,0,594520857424306176,2,"Finally, @EcstaticPesse with ""Digital Technology as a Force of Despair Which Poses as a Force of Hope."" @5collDH #5cdh #NewRigor",jeffreymoro,Jeffrey Moro
Sat May 02 15:15:24 +0000 2015,5cdh newrigor,,3,594520570546495488,2,"This title is curious: Wouter Schievnik's ""Digital Technology as a Force of Despair Which Poses as a Force of Hope"" #5cdh #newrigor",sheishistoric,Emily Esten
Sat May 02 15:15:20 +0000 2015,5cdh NewRigor,,0,594520556466216960,1,"Van Roggen: ""Data doesn't have narrative by itself, you have to find it."" @5collDH #5cdh #NewRigor",jeffreymoro,Jeffrey Moro
Sat May 02 15:15:11 +0000 2015,NewRigor 5cDH,,1,594520514753859584,0,"Van Roggen thinking @ what it means to be excited by what you find, w or w/o the narrative that fits it all together. #NewRigor #5cDH",5collDH,Five College DH
Sat May 02 15:10:24 +0000 2015,5cdh newrigor,http://twitter.com/Yael_Rice/status/594519311504531456/photo/1,2,594519311504531456,3,Juliana van Roggen uses ArcGIS to map molten iron deposits in the streets of Pompeii @5collDH #5cdh #newrigor http://t.co/s0dVLGPsdC,Yael_Rice,Yael Rice
Sat May 02 15:10:02 +0000 2015,newrigor 5cdh,,1,594519220756545536,3,"(This might be giving it away, but you can see Van Roggen's maps at http://t.co/GqXknfOxJe!) @5collDH #newrigor #5cdh",jeffreymoro,Jeffrey Moro
Sat May 02 15:09:08 +0000 2015,NewRigor,http://twitter.com/jeffreymoro/status/594518993651785729/photo/1,0,594518993651785729,3,"More of Van Roggen's maps, revealing patterns and clusters of iron deposits in Pompeii streets. @5collDH #NewRigor http://t.co/hbwd2YtIg6",jeffreymoro,Jeffrey Moro
Sat May 02 15:08:57 +0000 2015,NewRigor,,2,594518949422899200,0,"@jeffreymoro @5collDH On the other hand, I want those sounds on my phone to listen to when I write in the early AM. #NewRigor",Pompeiana79,Eric Poehler
Sat May 02 15:08:19 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594518789900922880/photo/1,0,594518789900922880,1,Van Roggen: How to make sense of archaeological data through the use of maps? #5cdh @5collDH #newrigor http://t.co/acrSoBYspL,jeffreymoro,Jeffrey Moro
